PartcipantID:k5
RandID:5
InitialTimeStamp:00-31-42-352
instanceNumber;capacity;profit;weights;values;id;type;sol
67;75;200;70,59,29,78,10,25;79,43,92,94,59,45;67;;0
68;42;209;46,85,30,20,15,67;53,85,84,78,68,26;68;;0
69;164;203;13,91,23,35,28,84;46,83,98,32,32,57;69;;1
70;234;274;96,61,18,33,65,53;11,52,51,89,18,67;70;;1
71;78;99;62,51,71,90,50,68;60,57,43,70,95,29;71;;0
72;213;264;95,94,49,88,70,14;18,59,88,33,52,66;72;;0
73;36;16;51,73,14,31,96,35;77,43,13,44,89,70;73;;1
74;51;89;95,44,72,75,11,24;32,13,33,96,45,47;74;;1
75;197;308;37,69,14,36,41,38;20,98,13,95,30,79;75;;0
76;33;135;80,88,17,94,63,78;72,66,73,72,60,46;76;;0
77;90;79;40,61,64,46,28,45;64,65,18,53,61,34;77;;1
78;40;70;33,49,90,55,12,17;27,59,28,57,53,19;78;;1
79;169;196;72,70,48,71,34,30;30,26,45,51,97,16;79;;0
80;219;266;18,89,70,27,67,18;28,90,55,25,22,50;80;;0
81;241;300;41,41,20,73,18,48;88,38,16,92,78,45;81;;1
82;135;175;20,15,71,35,85,35;43,68,67,24,50,20;82;;1
83;254;172;23,95,57,29,34,39;13,24,63,13,30,40;83;;0
84;359;258;83,77,22,35,88,54;53,17,41,88,10,13;84;;0
85;200;218;88,39,60,25,49,53;47,74,54,52,29,94;85;;1
86;259;197;54,90,60,31,50,57;19,25,80,12,47,41;86;;1
87;208;256;71,21,43,68,86,36;49,75,33,22,73,72;87;;0
88;235;192;36,17,18,86,84,15;20,19,43,10,54,28;88;;0
89;137;62;90,69,50,97,18,59;27,19,25,37,44,13;89;;1
90;316;269;46,45,74,51,67,47;17,46,39,74,67,46;90;;1
91;42;94;80,61,35,41,13,34;54,46,84,20,40,91;91;;0
92;92;182;10,45,95,49,63,27;72,50,68,30,61,13;92;;0
93;51;105;88,38,30,16,67,83;37,12,71,76,24,40;93;;1
94;149;303;72,25,14,10,95,33;78,37,95,62,43,72;94;;1
95;280;264;89,13,62,93,13,81;32,69,37,63,27,65;95;;0
96;374;322;85,92,90,59,41,79;63,58,67,73,12,35;96;;0
97;235;105;29,79,14,54,39,95;33,15,19,41,20,15;97;;1
98;122;170;15,98,89,51,51,79;34,86,14,64,75,76;98;;1
99;146;197;79,62,23,24,65,80;63,75,75,44,32,18;99;;0
100;70;297;32,21,52,61,17,13;39,87,76,84,70,72;100;;0
101;84;125;79,80,11,64,20,49;11,24,88,32,22,52;101;;1
102;99;182;21,80,41,28,90,17;60,44,66,52,10,59;102;;1
103;89;211;56,59,43,22,22,47;94,47,48,62,97,30;103;;0
104;322;361;85,25,58,56,47,79;33,92,37,23,93,53;104;;0
105;46;13;73,18,39,47,30,86;71,68,58,64,52,29;105;;1
106;189;311;35,35,30,89,78,97;97,93,52,42,73,63;106;;1
107;129;188;19,87,26,79,34,79;17,18,93,75,57,27;107;;0
108;286;283;52,29,54,92,70,44;32,41,45,54,49,65;108;;0
109;318;289;32,35,85,92,88,66;40,58,86,75,19,89;109;;1
110;406;299;75,94,17,59,89,89;40,30,67,74,46,75;110;;1
111;164;190;82,64,38,80,19,33;20,69,94,77,12,12;111;;0
112;32;154;79,18,73,68,98,76;54,98,79,14,39,67;112;;0
113;122;129;12,81,86,92,49,64;92,46,52,95,17,61;113;;1
114;259;256;53,16,91,70,54,98;91,10,22,84,74,67;114;;1
115;21;52;80,57,45,10,18,64;91,15,50,21,49,25;115;;0
116;169;310;11,50,52,13,13,63;75,21,17,76,14,79;116;;0
117;230;193;25,61,44,18,17,97;19,56,26,13,73,74;117;;1
118;336;368;34,80,51,88,70,77;95,92,21,43,93,71;118;;1
119;188;291;53,16,85,18,42,34;84,67,58,75,40,22;119;;0
120;38;154;36,36,15,13,50,43;75,97,24,56,35,69;120;;0
