PartcipantID:k5
RandID:5
InitialTimeStamp:14-40-28-649
instanceNumber;capacity;profit;weights;values;id;type;sol
43;80;77;38,30,17,24,23,46;48,4,27,4,41,1;84-0.45-0.62;;1
44;75;107;27,35,45,43,22,8;26,27,17,39,34,28;153-0.42-0.63;;0
45;42;96;39,19,5,5,22,7;11,32,33,13,30,30;120-0.44-0.65;;1
46;79;131;35,41,27,31,5,42;46,42,30,4,45,41;185-0.44-0.63;;0
47;74;100;49,20,48,26,5,18;6,22,41,24,17,44;137-0.45-0.65;;1
48;73;106;4,40,25,47,41,11;37,19,21,29,16,49;126-0.44-0.62;;1
49;74;113;33,13,20,31,25,44;3,40,13,44,42,44;85-0.45-0.61;;1
50;59;78;21,16,34,7,8,46;16,29,35,26,6,13;123-0.45-0.63;;1
51;50;96;30,29,7,30,5,12;21,34,35,6,13,39;45-0.45-0.65;;1
52;46;77;7,37,14,14,20,12;28,40,7,3,27,20;245-0.45-0.62;;0
53;75;124;35,42,47,5,10,33;20,42,44,17,23,46;187-0.44-0.65;;0
54;58;115;30,6,34,38,8,17;18,49,38,36,16,24;26-0.44-0.64;;0
55;74;93;25,44,17,39,30,23;27,19,46,11,37,13;88-0.42-0.61;;1
56;59;81;10,46,31,34,19,6;20,23,27,20,26,10;193-0.41-0.65;;0
57;54;79;17,30,38,3,5,29;3,30,12,26,45,10;158-0.45-0.63;;1
58;53;109;14,35,6,26,26,15;40,26,24,43,25,13;129-0.44-0.64;;0
59;46;112;38,8,14,23,28,3;21,44,17,36,13,45;147-0.41-0.64;;1
60;46;127;7,25,17,13,7,45;32,43,42,23,45,11;10-0.41-0.65;;1
61;77;114;20,37,42,27,43,16;37,19,38,13,47,27;194-0.42-0.63;;0
62;61;118;22,9,36,4,34,38;33,45,20,30,39,21;219-0.43-0.63;;0
63;29;109;21,5,15,16,5,10;11,29,29,49,18,41;56-0.41-0.62;;0
64;76;98;40,10,40,39,27,22;16,13,29,29,33,34;49-0.43-0.64;;0
65;82;128;43,5,39,36,29,32;41,7,36,44,23,49;170-0.45-0.64;;0
66;74;107;33,18,35,39,22,22;48,5,45,14,33,21;25-0.44-0.65;;0
67;108;102;47,48,40,46,34,38;47,24,7,44,26,9;42-0.43-0.65;;0
68;44;97;6,25,18,18,20,11;30,28,27,38,12,19;178-0.45-0.63;;0
69;61;78;3,39,11,22,26,39;22,5,39,8,41,12;228-0.44-0.62;;1
70;69;134;7,42,34,23,22,26;28,30,46,38,37,38;139-0.45-0.62;;0
71;70;73;21,40,23,45,38,4;15,13,34,25,32,2;33-0.41-0.61;;0
72;68;126;42,37,5,5,24,46;34,36,38,34,24,32;102-0.43-0.64;;0
73;71;86;29,11,30,43,4,41;6,34,32,45,4,20;92-0.45-0.61;;0
74;67;92;9,43,40,16,11,39;45,17,20,19,10,41;83-0.43-0.61;;1
75;98;103;49,19,44,38,37,37;49,20,44,22,19,13;24-0.44-0.62;;0
76;69;141;36,30,20,19,38,15;48,38,44,37,40,18;207-0.44-0.63;;0
77;95;101;48,34,43,32,20,44;26,24,34,47,17,11;98-0.43-0.64;;0
78;65;99;33,12,25,30,41,16;45,4,37,38,9,25;89-0.42-0.63;;0
79;65;92;27,3,37,23,35,28;11,15,35,41,14,29;51-0.43-0.64;;0
80;66;141;37,27,22,46,3,27;47,37,34,39,43,29;69-0.41-0.62;;0
